feature1,feature2,feature3,feature4,feature5,feature6,label
0.21788905687268312,0.5878411567386596,0.11305713313115229,0.5017648217850125,0.37357751410342144,0.43643924905844766,C
0.5657737936079903,0.8751537980444853,0.8985984886107017,0.8756244458443777,0.5203069586243413,0.32386651764924945,C
0.6502451694307757,0.36506244110535047,0.13324360402006075,0.7811560998404187,0.4437065630828577,0.005846836917489551,B
0.44710702332232966,0.3650682707395213,0.8666362171585849,0.9049244840202569,0.06426737207358124,0.8788441626739327,B
0.9760491434146052,0.7232147205717153,0.015288717360315895,0.6535929496746204,0.7117756582657244,0.6180408205239182,A
0.1352442283969596,0.4901347341172423,0.8288717030376949,0.6871670793410846,0.23816553970627174,0.922960031440257,A
0.6763671883592648,0.9381242801683176,0.4810772727606031,0.6931882470734348,0.27152475806382703,0.09399651918703023,B
0.6291502421096832,0.948119467413862,0.860814429054332,0.116925981305665,0.8639308388335593,0.5767610964283022,C
0.24377262990296555,0.02609906762542369,0.48655909789214047,0.6126017598237857,0.28407108041504414,0.6807931620552349,A
0.25771634775821084,0.42993287087108656,0.48844824006995435,0.39924224859291535,0.7514854681705309,0.3069440817973502,B
0.8514602174873885,0.9154673778660156,0.5271408772536795,0.9833582259683906,0.6887870888904084,0.9675710000770388,C
0.6724856214038042,0.8324364347955225,0.29401442009355405,0.1339955721988012,0.7695140891734358,0.6582847449669118,B
0.28214233149816037,0.37859871760553687,0.052838209316700024,0.38303141139965335,0.32521921745971294,0.036859936391742565,B
0.17828011297915536,0.8815069904271032,0.30328756940991974,0.6731730938210031,0.22945070387097877,0.3529305576235847,C
0.682402579120072,0.6071767460488273,0.8602363719044449,0.3105458437048553,0.1341090698232661,0.2036786280463403,A
0.1644310885338911,0.7297768771930156,0.2756126862814694,0.006093866133351056,0.20843298935286347,0.4287344477354983,C
0.7342076030179656,0.4418073428230108,0.9899455649634941,0.43501601360627806,0.4362084106760563,0.4084763997069799,A
0.7871245121988686,0.8310356743894816,0.5741004450814226,0.9285738581011551,0.32097357365654244,0.3784162368747108,A
0.4172573313954395,0.7243786096762932,0.5041323671259076,0.8208508847649486,0.08046676853367829,0.3760142729971011,A
0.6751048001310589,0.8950935137029412,0.19704682900858417,0.2887642270400117,0.2859263715028475,0.3433318153241788,C
0.9406169310629166,0.4443046826164022,0.781433161575762,0.9366123781619062,0.8729650238336871,0.4459318833008913,B
0.33754015242806457,0.08152429336437761,0.9796088552713168,0.14366583024668422,0.7189718731413086,0.7259731349522586,A
0.4292761635864555,0.5921473233666463,0.35486641177270306,0.6187830137357447,0.5992913469701225,0.5007246075025557,C
0.9711536616922002,0.2567993249815791,0.5306360691317545,0.27952493066838624,0.26142226153779113,0.6111339641001677,C
0.026953599201048672,0.6624817324796445,0.8132006119729286,0.49450726167064285,0.6402903579161522,0.6218341436250755,C
0.21227934149466532,0.7954268974685222,0.13933662473662312,0.22010390227167131,0.13135066255409333,0.2870682495913104,B
0.0536053439674965,0.7824302844304513,0.2162045682658592,0.8681341592755419,0.20857593495651172,0.08646377513135517,B
0.21657391724387398,0.4826483829105399,0.39312212701044813,0.08336839617663849,0.059479148127704606,0.2992023855323773,B
0.32962495004873116,0.5365625877241279,0.6655078646041223,0.6006457205047105,0.7440102236009835,0.2150836174813432,A
0.9621840287834935,0.563573071068296,0.494124783868251,0.8446945237921405,0.16174747676027634,0.46618990990315967,A
0.48684345741280877,0.898412652267054,0.49614691943280453,0.4874881049788057,0.3301820155231876,0.3600386413404554,C
0.944848314261074,0.48907443631113734,0.022582009711676898,0.393973796374835,0.6889381558900317,0.7596409917042816,B
